,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
TRY,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.0
AED,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.09535
AFN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.8421
ALL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,2.2577
AMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,10.1453
ANG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.046470000000000004
AOA,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,24.1765
ARS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,30.4291
AUD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.04055
AWG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.046470000000000004
AZN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.044160000000000005
BAM,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.044750000000000005
BBD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.051930000000000004
BDT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,3.156
BGN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.04474
BHD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.009762
BIF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,77.2913
BMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.02596
BND,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.0339
BOB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.17980000000000002
BRL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.1459
BSD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.02596
BTN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,2.1952
BWP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.3552
